0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-2.7180686,0.78093946,-1.5059559,2.1865172,2.0655441,0.5709162,0.29648933,2.6008003,-0.4264417,-1.2697829,-2.4045832,2.915989,0.6112344,-1.2532269,1.0017371,-0.77194697,0.9928021,-1.2756523,1.3098608,1.3196343,4.691911,-0.9793179,-2.2848585,0.3551647,-1.5212806,-0.69780236,-1.2326827,1.0073936,0.52834874,2.811158,-0.6446951,-0.9565414,1.0877353,0.050772432,2.4271522,2.173891,-1.6272917,-0.48047686,-2.6299713,-0.22172712,0.557392,3.0513902,1.6144179,-2.82917,-1.4419545,-3.0096526,1.6821595,1.6675298,0.76099306,1.2910678
0.49880567,-0.54853946,-0.9971827,-0.4940263,1.5931672,-0.7609055,0.48495138,0.818598,-1.4365144,1.8075931,0.23264606,0.18123151,-0.08116262,1.1507461,0.6162274,-0.029372118,-2.1575081,0.26838568,0.5739265,1.4488306,0.9656461,-1.2971421,-0.23436397,-0.6480935,-1.05697,0.8555806,0.60136557,0.32201913,-0.9470635,-0.06036548,1.332039,0.67984533,0.5705541,0.40404174,-0.468304,-0.09931369,2.736535,-0.2403274,1.3854998,0.81917113,-0.01980375,0.7705475,-0.55663973,0.7865552,1.4554913,0.5821011,0.41115272,-0.591248,0.8130385,-0.77587426
-0.07988547,-0.4791666,0.26781514,1.6110384,-1.6357744,0.39596394,0.4450907,0.70063204,1.0340375,0.69376373,-1.1680146,-2.7762854,-0.1706705,-2.2661579,-0.5440811,-0.21463239,3.126649,1.0048691,-0.20649444,1.5474769,1.3396986,1.7691327,1.9018253,-1.958217,-0.25417587,0.8015195,-0.1956045,0.682327,-0.22923319,0.012310369,-0.7600201,-1.4437526,0.60019505,0.2137483,-0.35593337,-0.70547706,-0.8562969,-0.402707,0.59514344,0.0480136,-0.6079317,-0.21015075,2.5285015,-0.02116092,0.16811244,0.44153416,-0.85217416,1.5665547,-0.014298283,-1.907695
-6.4772806,-0.5858466,-1.6282483,3.862939,-3.5953062,0.30515078,-0.38498595,5.6160064,0.8469778,-2.0195646,1.0110173,-1.2155756,0.56492585,2.5042772,-1.4611174,-1.4541831,-0.6848004,0.63259226,2.2063365,-1.8902873,1.1219779,0.5546341,-9.752655,1.9710342,-0.9277405,-0.26422578,3.2680435,-3.302944,2.0475535,-3.2469409,2.4606984,1.5965058,-3.8488736,4.1678476,2.7838411,-1.0125202,-1.5037316,-1.8935553,0.6878764,6.981971,-0.14811404,1.4902261,2.920054,5.078076,-0.45656696,-0.554149,2.2188113,-3.2266495,-2.0162401,-0.105518855
-2.5425653,0.31954053,0.7096297,1.1849104,-0.6143754,0.8689387,2.0048876,1.504001,0.62612873,-0.8906882,-0.37546787,-2.0061388,0.08857013,-1.6954892,-0.5864518,1.3474581,4.077228,-0.30475682,0.39752427,3.606451,0.78779906,1.7169342,2.3341236,0.44715,-1.035477,1.1549789,0.5402755,1.5056263,-3.2908738,-3.1799362,0.7723539,2.6744814,-0.38989154,-0.7374608,-1.0192589,-2.9009824,1.4461337,0.6236222,3.6242464,-2.5860658,-2.2708466,0.31087306,0.7700155,0.36634332,1.0524596,2.760529,0.5075259,1.9393,-1.0844059,-1.454421
-0.953243,1.0228463,1.1680422,-2.0469294,2.6973457,0.12747169,2.947386,-0.81533444,-0.8829979,-0.9085973,-2.4584577,-0.4508355,-1.3580397,-1.4083661,-0.6054513,0.23852864,3.4539196,-1.3314121,0.7959432,-2.0631464,-0.34586647,-0.616004,3.756889,-0.5717945,0.50803244,-1.556906,-0.32352173,0.03585718,-0.21698178,-0.6959125,-3.8161957,-4.152517,-0.6254064,0.12759514,2.1424909,-1.4890345,-0.35758618,1.5968928,-1.0475575,-1.968851,-1.4797883,-1.0996053,0.5764957,0.7080342,0.06057156,-0.76137185,0.17942595,2.0801356,0.74641347,0.9458668
0.6531317,-0.32511318,0.850911,-0.13512728,1.0779809,-0.64812833,1.3486861,-1.0185304,-2.1704936,-0.26116478,-1.6805446,3.2919755,3.8778327,0.08870439,-0.92168695,0.37952334,2.7717645,-2.7773004,0.4841372,0.5570205,0.073123746,-0.94433254,-0.92582726,-1.2264038,0.99455273,0.20139635,-5.5811343,0.12438108,2.4423609,0.09070216,-0.5654378,-0.12185547,1.1037146,-2.1207445,-1.7055194,1.0522941,-0.19873568,-1.6550134,0.68477696,-2.8924112,0.23032734,-0.49109733,-1.139657,-1.7689102,-3.6558604,0.7272348,0.37731463,0.9045185,0.12351502,0.070713736
0.9637384,-0.9141501,0.21368073,-1.7990218,0.9372935,-0.5350256,-1.0473611,0.182816,0.6080404,-0.27031484,0.29722628,0.5102974,0.13844049,-0.08128771,1.9886819,1.0877783,-0.3032523,0.015912764,-0.57797694,-0.9569105,-0.20768581,0.18155676,-0.40608287,-0.10788875,1.4316021,0.11852785,0.8797494,-1.158663,0.5003162,0.7243288,-0.5195065,0.0007219677,1.29507,1.8000484,-2.5145135,-0.1363945,0.4120608,1.221412,-0.13888475,0.6069275,-0.74222493,0.6619199,-1.2428176,1.1940581,-2.3870034,0.79503745,1.5456554,0.19229154,-0.34649298,-0.0073566125
-0.27154952,0.17462115,0.5769804,0.65786535,-1.2924551,-0.12951641,-0.5222611,-0.01091969,-0.24639994,0.7233142,0.4658895,-1.2789241,-1.5806171,-1.2647847,0.603772,-0.38041455,-0.99119186,-0.22155605,0.0832958,0.7851858,-0.43789107,-0.20026878,-0.7365722,-0.6640417,-0.008102915,0.1764107,0.17081673,-0.39550638,-0.62070805,-0.37340683,-0.1644964,-0.44557887,-0.08476722,1.098863,-0.42183915,0.11506622,-0.32600188,-0.5903043,0.55986184,0.19283941,-0.17499481,0.92136693,-0.0053861015,-0.56242734,-0.3888728,0.21524158,-0.8144328,-1.4132862,1.0345161,-1.4746333
-0.12257686,0.1417019,-1.0556536,-0.21280554,0.2869168,2.0761883,0.09704439,0.36287665,-1.0595425,-1.3069808,-0.12536246,0.59196377,-1.0262058,0.15961102,-0.6772232,0.10575006,-2.4490108,0.7665549,0.25549823,0.96003306,1.4920727,2.2464619,1.4876527,1.4998285,-1.5044763,-0.25106102,0.097447746,-0.049736533,0.084644,-0.4306907,-1.1511352,-0.33688048,0.93527097,0.434587,1.295485,1.6034179,0.61002666,-1.0469576,1.221986,0.26436055,-0.9635039,0.5355459,1.2926387,-2.6335812,0.23269254,-2.692859,2.8264503,-1.4189942,-2.4580553,0.4734482
